"trial"	"deck"	"gain"	"loss"	"subjID"
73	4	50	0	192
74	4	50	0	192
75	4	50	0	192
76	4	50	0	192
77	4	50	-250	192
78	4	50	0	192
79	2	100	0	192
80	4	50	0	192
81	4	50	0	192
82	4	50	0	192
83	4	50	0	192
84	4	50	-250	192
85	4	50	0	192
86	4	50	0	192
87	4	50	0	192
88	2	100	0	192
89	2	100	0	192
90	4	50	0	192
91	4	50	0	192
92	2	100	0	192
93	1	100	0	192
94	1	100	-300	192
95	2	100	0	192
96	1	100	-150	192
97	2	100	0	192
98	2	100	0	192
99	4	50	0	192
100	4	50	0	192
1	1	100	0	193
2	4	50	0	193
3	2	100	0	193
4	3	50	0	193
5	3	50	0	193
6	4	50	0	193
7	2	100	0	193
8	1	100	0	193
9	4	50	0	193
10	1	100	-150	193
11	4	50	0	193
12	3	50	-50	193
13	2	100	0	193
14	2	100	0	193
15	4	50	0	193
16	2	100	0	193
17	2	100	0	193
18	2	100	0	193
19	2	100	0	193
20	2	100	-1250	193
21	4	50	0	193
22	3	50	0	193
23	1	100	0	193
24	1	100	-300	193
25	1	100	0	193
26	4	50	0	193
27	2	100	0	193
28	3	50	-50	193
29	3	50	0	193
30	1	100	-200	193
31	1	100	0	193
32	4	50	0	193
33	2	100	0	193
34	3	50	-50	193
35	1	100	-250	193
36	4	50	0	193
37	3	50	0	193
38	3	50	-50	193
39	3	50	-50	193
40	3	50	0	193
41	3	50	-25	193
42	1	100	-350	193
43	3	50	-75	193
44	4	50	-250	193
45	4	50	0	193
46	2	100	0	193
47	2	100	0	193
48	3	50	0	193
49	2	100	-1250	193
50	3	50	0	193
51	3	50	0	193
52	3	50	-25	193
53	3	50	-75	193
54	3	50	0	193
55	3	50	-50	193
56	3	50	0	193
57	3	50	0	193
58	3	50	0	193
59	3	50	-50	193
60	3	50	-25	193
61	3	50	-50	193
62	3	50	0	193
63	3	50	0	193
64	3	50	-75	193
65	3	50	-50	193
66	3	50	0	193
67	3	50	0	193
68	3	50	0	193
69	3	50	-25	193
70	3	50	-25	193
71	3	50	0	193
72	3	50	-75	193
73	3	50	0	193
74	3	50	-50	193
75	3	50	-75	193
76	3	50	0	193
77	3	50	0	193
78	3	50	-50	193
79	3	50	0	193
80	3	50	-50	193
81	3	50	0	193
82	3	50	-50	193
83	3	50	0	193
84	3	50	-50	193
85	3	50	-50	193
86	3	50	0	193
87	3	50	-25	193
88	3	50	-75	193
89	3	50	0	193
90	3	50	0	193
91	3	50	0	193
92	3	50	-25	193
93	3	50	-75	193
94	3	50	0	193
95	3	50	-50	193
96	3	50	0	193
97	3	50	0	193
98	3	50	0	193
99	3	50	-50	193
100	3	50	-25	193
1	2	100	0	194
2	2	100	0	194
3	2	100	0	194
4	2	100	0	194
5	2	100	0	194
6	2	100	0	194
7	2	100	0	194
8	2	100	0	194
9	2	100	-1250	194
10	3	50	0	194
11	4	50	0	194
12	1	100	0	194
13	1	100	0	194
14	1	100	-150	194
15	1	100	0	194
16	1	100	-300	194
17	1	100	0	194
18	1	100	-200	194
19	2	100	0	194
20	3	50	0	194
21	3	50	-50	194
22	4	50	0	194
23	4	50	0	194
24	4	50	0	194
25	4	50	0	194
26	4	50	0	194
27	4	50	0	194
28	4	50	0	194
29	4	50	0	194
30	4	50	-250	194
31	4	50	0	194
32	4	50	0	194
33	4	50	0	194
34	4	50	0	194
35	4	50	0	194
36	4	50	0	194
37	4	50	0	194
38	4	50	0	194
39	4	50	0	194
40	4	50	-250	194
41	4	50	0	194
42	4	50	0	194
43	4	50	0	194
44	4	50	0	194
45	4	50	0	194
46	4	50	0	194
47	4	50	0	194
